Company,Weight
APOLLO HOSPITALS ENTERPRISE LTD.,0.032734261878664045
ASIAN PAINTS LTD.,0.031012638964655347
BAJAJ FINANCE LTD.,0.028234239528953528
BHARAT PETROLEUM CORPN. LTD.,0.011910176477456399
BHARTI AIRTEL LTD.,0.02871850123366846
BRITANNIA INDUSTRIES LTD.,0.012296314284955607
CIPLA LTD.,0.028349178389095266
COAL INDIA LTD.,0.010032350379632779
DIVI'S LABORATORIES LTD.,0.032732912236935
DR. REDDY'S LABORATORIES LTD.,0.028683989101269354
EICHER MOTORS LTD.,0.008233316893951806
GRASIM INDUSTRIES LTD.,0.017903017848229792
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,0.024324346756805795
H C L TECHNOLOGIES LTD.,0.02125767591850252
H D F C BANK LTD.,0.010252135312720491
H D F C LIFE INSURANCE CO. LTD.,0.01779859715227732
HERO MOTOCORP LTD.,0.01003181102866978
HINDALCO INDUSTRIES LTD.,0.017046949377816013
HINDUSTAN UNILEVER LTD.,0.015918692900453855
HOUSING DEVELOPMENT FINANCE CORPN. LTD.,0.011916549308880697
I C I C I BANK LTD.,0.019589589308883267
I T C LTD.,0.010569819726654084
INDUSIND BANK LTD.,0.008379691732850594
INFOSYS LTD.,0.03225877197859829
J S W STEEL LTD.,0.01918715456475363
KOTAK MAHINDRA BANK LTD.,0.015343216836346703
ULTRATECH CEMENT LTD.,0.019544729078741063
LARSEN & TOUBRO LTD.,0.012296577852897072
MAHINDRA & MAHINDRA LTD.,0.01087451654193736
TECH MAHINDRA LTD.,0.0310093487499919
MARUTI SUZUKI INDIA LTD.,0.010471023881350064
N T P C LTD.,0.010823458028463255
NESTLE INDIA LTD.,0.026725735675041218
OIL & NATURAL GAS CORPN. LTD.,0.010585113676295766
TATA CONSULTANCY SERVICES LTD.,0.028605397548704052
POWER GRID CORPN. OF INDIA LTD.,0.014888885089955724
RELIANCE INDUSTRIES LTD.,0.02573210942624249
S B I LIFE INSURANCE CO. LTD.,0.02823393334981914
U P L LTD.,0.011918723574872205
SHREE CEMENT LTD.,0.015714533039909103
STATE BANK OF INDIA,0.01487487754889175
SUN PHARMACEUTICAL INDS. LTD.,0.028302753541970167
TATA MOTORS LTD.,0.02869794410524039
TATA STEEL LTD.,0.02420568129965664
TATA CONSUMER PRODUCTS LTD.,0.03224751865277565
TITAN COMPANY LTD.,0.030980944487573263
AXIS BANK LTD.,0.010619189821455533
WIPRO LTD.,0.03046397715492173
BAJAJ AUTO LTD.,0.01229994830487122
BAJAJ FINSERV LTD.,0.02516718044674292
