Company,Weight
APOLLO HOSPITALS ENTERPRISE LTD.,0.03906233633637163
ASIAN PAINTS LTD.,0.034235999508876465
BAJAJ FINANCE LTD.,0.03095199160007503
BHARAT PETROLEUM CORPN. LTD.,0.014672226539036376
BHARTI AIRTEL LTD.,0.019179483563385197
BRITANNIA INDUSTRIES LTD.,0.007687647203863237
CIPLA LTD.,0.027405660032464658
COAL INDIA LTD.,0.004951578091013417
DIVI'S LABORATORIES LTD.,0.03912425906623551
DR. REDDY'S LABORATORIES LTD.,0.03637718043043329
EICHER MOTORS LTD.,0.0014266177922042079
GRASIM INDUSTRIES LTD.,0.016476379844257004
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,0.027378363262748156
H C L TECHNOLOGIES LTD.,0.018070838729407613
H D F C BANK LTD.,0.009638036018540849
H D F C LIFE INSURANCE CO. LTD.,0.019523131228774956
HERO MOTOCORP LTD.,0.011618257396497692
HINDALCO INDUSTRIES LTD.,0.01676644910464476
HINDUSTAN UNILEVER LTD.,0.020106006632995402
HOUSING DEVELOPMENT FINANCE CORPN. LTD.,0.014640055763418857
I C I C I BANK LTD.,0.027401931658480684
I T C LTD.,0.011633973912824785
INDUSIND BANK LTD.,0.004832238772269586
INFOSYS LTD.,0.019861484094402918
J S W STEEL LTD.,0.02379034076770257
KOTAK MAHINDRA BANK LTD.,0.014817645472470579
ULTRATECH CEMENT LTD.,0.019838985605466364
LARSEN & TOUBRO LTD.,0.014044582191528321
MAHINDRA & MAHINDRA LTD.,0.008643310521723466
TECH MAHINDRA LTD.,0.024619102326520214
MARUTI SUZUKI INDIA LTD.,0.007948938576203757
N T P C LTD.,0.009268509946695662
NESTLE INDIA LTD.,0.028289327983774416
OIL & NATURAL GAS CORPN. LTD.,0.007706652483532653
TATA CONSULTANCY SERVICES LTD.,0.028123483429675505
POWER GRID CORPN. OF INDIA LTD.,0.01915615729897998
RELIANCE INDUSTRIES LTD.,0.029256585351230255
S B I LIFE INSURANCE CO. LTD.,0.01980557549917918
U P L LTD.,0.018055787504149635
SHREE CEMENT LTD.,0.0199603128809079
STATE BANK OF INDIA,0.019165222628530543
SUN PHARMACEUTICAL INDS. LTD.,0.016729194899712103
TATA MOTORS LTD.,0.01403623564149438
TATA STEEL LTD.,0.0273748930088855
TATA CONSUMER PRODUCTS LTD.,0.03637442493262505
TITAN COMPANY LTD.,0.02755067351927199
AXIS BANK LTD.,0.014754010674306975
WIPRO LTD.,0.03395485621377235
BAJAJ AUTO LTD.,0.0198460053428037
BAJAJ FINSERV LTD.,0.023867058715634548
