date,APOLLO HOSPITALS ENTERPRISE LTD.,ASIAN PAINTS LTD.,BAJAJ FINANCE LTD.,BHARAT PETROLEUM CORPN. LTD.,BHARTI AIRTEL LTD.,BRITANNIA INDUSTRIES LTD.,CIPLA LTD.,COAL INDIA LTD.,DIVI'S LABORATORIES LTD.,DR. REDDY'S LABORATORIES LTD.,EICHER MOTORS LTD.,GRASIM INDUSTRIES LTD.,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,H C L TECHNOLOGIES LTD.,H D F C BANK LTD.,H D F C LIFE INSURANCE CO. LTD.,HERO MOTOCORP LTD.,HINDALCO INDUSTRIES LTD.,HINDUSTAN UNILEVER LTD.,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,I C I C I BANK LTD.,I T C LTD.,INDUSIND BANK LTD.,INFOSYS LTD.,J S W STEEL LTD.,KOTAK MAHINDRA BANK LTD.,ULTRATECH CEMENT LTD.,LARSEN & TOUBRO LTD.,MAHINDRA & MAHINDRA LTD.,TECH MAHINDRA LTD.,MARUTI SUZUKI INDIA LTD.,N T P C LTD.,NESTLE INDIA LTD.,OIL & NATURAL GAS CORPN. LTD.,TATA CONSULTANCY SERVICES LTD.,POWER GRID CORPN. OF INDIA LTD.,RELIANCE INDUSTRIES LTD.,S B I LIFE INSURANCE CO. LTD.,U P L LTD.,SHREE CEMENT LTD.,STATE BANK OF INDIA,SUN PHARMACEUTICAL INDS. LTD.,TATA MOTORS LTD.,TATA STEEL LTD.,TATA CONSUMER PRODUCTS LTD.,TITAN COMPANY LTD.,AXIS BANK LTD.,WIPRO LTD.,BAJAJ AUTO LTD.,BAJAJ FINSERV LTD.
31-12-2020,0.006864607,0.011007899,-0.007302007,-0.004570981,-0.012496367,-0.002106644,-0.004673464,-0.001106195,0.01110614,0.006604202,0.005382644,-0.007009846,-0.003399258,0.005793558,0.002652705,0.001183957,0.002772941,0.013268745,-0.004653869,0.016123588,0.011914894,-0.010182335,-0.004560369,0.007218479,0.002849003,-0.011075597,-0.012437555,-0.003444139,-0.000138754,-0.010221205,0.004820765,0.002522704,0.000598501,-0.002144772,-0.016000412,-0.001840168,-0.005111501,0.001439725,-0.001605652,-0.023851674,-0.007042254,0.014297945,-0.001629107,0.004996487,-0.007487171,0.009371377,-0.00743881,0.004812695,-0.001189043,-0.006176284
30-12-2020,0.008352619,0.01394245,0.025699452,0.003538663,-0.007880827,-0.00261598,-0.00501238,0.003700962,0.004095978,0.001035698,0.02308427,0.02737768,0.00413736,0.005128753,0.003713565,0.003713607,0.008913468,0.007640068,0.00935285,-0.000357292,-9.45537E-05,-0.001890806,-0.015171432,-0.002799328,0.011262441,0.009328265,0.040413853,0.005603767,0.019305565,0.018226065,0.02154354,0.005070994,0.006384616,0.001073537,-0.00723426,0.002635741,0.002738625,0.004058712,0.027270728,0.031892247,-0.003598417,-0.011175076,0.003815754,0.013049668,-0.0070999,0.008116356,-0.008092669,-0.001558442,0.004837464,-0.001598699
29-12-2020,-0.005149029,0.004806438,-0.000691762,-0.003265839,-0.00258819,-0.002844417,-0.002650123,-0.018525245,0.004832714,-0.00695913,0.003753034,0.00314344,-0.000310206,0.01529616,0.010156775,-0.008103728,-0.002789853,-0.017924135,-0.001925572,0.017161663,0.016727552,0.009785203,0.053001903,0.008062566,-0.012415934,0.005229021,0.000894567,-0.003528773,-0.005485618,0.019586105,-0.004095951,-0.018417123,-0.017997188,-0.006929638,0.000375504,-0.009658053,-0.006614087,-0.002606333,0.002867225,0.005232854,0.009811047,0.006218588,-0.015562114,-0.000711294,-0.006390572,-0.002235107,0.020318951,0.005484461,0.004934548,-0.002112273
28-12-2020,-0.010049522,0.01346172,0.003703061,0.01377301,0.008312391,-0.004062738,-0.003660586,0.010275229,0.0043738,0,0.005991587,0.010589088,0.010448229,0.002664926,0.011273352,0.032635983,0.003091341,0.012449884,-0.00555729,0.008675641,0.012754357,0.004314477,0.016592402,0.003438372,0.05556314,0.014434357,0.019307201,0.021549675,7.03334E-05,-0.000158353,0.004962363,0.005002501,0.001669687,0.006977992,0.006891574,0.008157895,0.004588421,0.031754205,0.008900757,-0.004667023,0.031290987,-0.005927682,0.059107701,0.01663185,0.002412646,0.031853734,0.012209112,0.001831502,0.011837914,0.000278008
24-12-2020,-0.008525762,0.002157007,0.018864588,0.008413462,0.019913249,-0.001958432,0.010368035,0.008885598,0.01653744,-0.004268678,-0.004066702,-0.00537694,0.016569304,-0.003522653,0.015592629,0.013336417,0.010871532,0.003175275,0.013457928,0.021680781,0.019757744,0.004091456,-0.002981236,-0.013566897,-0.001635546,0.020747104,0.002145433,-0.002055661,-0.000843289,-0.000949217,-0.000523493,0.014205987,-0.008880193,0.025881057,0.000206274,0.000263227,0.025876482,0.022165039,-0.005642217,-0.002831207,0.014638783,0.027584407,0.039893617,0.001448342,-0.007103915,0.003387329,0.029960334,-0.008688886,0.019669754,-0.002296619
23-12-2020,0.010567401,0.016052753,0.01546474,0.005100671,0.013791725,-0.001391031,0.037295597,-0.003321033,-0.008694016,0.012069433,0,0.018978762,0.004480956,0.009630116,0.001857112,0.011461988,-0.002968089,0.018542475,0.025681523,-0.00024962,0.006596042,0.021386431,0.017425955,0.026669398,0.013537781,0.009353898,0.002519268,0.001663103,0.023667362,0.003705076,0.007376207,-0.003538928,0.009655834,0.002760906,0.012619669,-0.001839201,0.003691847,0.001171029,0.016417407,-0.000932403,0.021557584,0.011085694,0.025765383,0.033341648,0.050868056,-0.005304243,0.004578211,0.058621636,0.013582213,0.008323218
22-12-2020,0.031214541,0.018065097,-0.00603945,0.014019328,0.019148503,0.001752183,0.021194605,0.019180143,0.02388454,0.018397767,0.020989818,0.008947398,0.054924029,0.049801827,0.000327833,0.019151303,0.01836946,-0.001721911,0.002189987,-0.00461736,0.011729019,0.002217295,-0.002373324,0.036694131,0.023903819,-0.009318791,0.002685783,0.022553347,0.013266273,0.041682748,0.002616559,0.014358974,0.019840485,0.007790762,0.018562842,0.025876011,-0.001546631,0.015579473,0.016807684,0.008398862,0.010797016,0.028504208,0.002430872,0.009230511,0.023545091,0.01844868,0.012446352,0.028958892,0.008353277,0.010410603
21-12-2020,-0.021903466,-0.018008841,-0.040104712,-0.067284499,-0.038676197,-0.025923935,-0.018841767,-0.061750176,-0.051853688,-0.030638298,-0.034079687,-0.035508162,-0.041118066,-0.022680065,-0.027420555,-0.038067574,-0.045035563,-0.070428171,-0.011785125,-0.026054691,-0.043797738,-0.053846154,-0.069045515,-0.010505967,-0.029379462,-0.014620258,-0.028073751,-0.036440248,-0.064953653,-0.02886057,-0.024293131,-0.060240964,-0.009266041,-0.092424242,-0.014278224,-0.0433213,-0.026034998,-0.019016508,-0.049967413,-0.03486962,-0.061705655,-0.039043478,-0.088618111,-0.056079208,-0.018830093,-0.031395004,-0.044298605,-0.026406271,-0.032650745,-0.040024524
18-12-2020,-0.006966105,0.010271645,-0.006469064,-0.003920081,-0.008639099,-0.002480059,0.013087334,-0.012199373,0.002143959,0.030732231,0.005817725,-0.003341733,-0.009513629,0.012850401,-0.021119434,-0.000687495,0.007276758,0.016473459,0.007839157,-0.006093161,0.013224922,0.006805914,-0.032699295,0.026397516,-0.005461496,-0.008191508,-0.003731776,0.002150454,0.004037501,0.003978067,-0.017448661,-0.006701771,0.003135695,-0.024630542,0.008033261,0.003103983,0.002996575,0.000934197,0.010759772,0.002611136,0.014008218,0.006388378,-0.006329114,-0.006374941,-0.006495756,0.01158494,0.006772382,0.01863267,0.023574737,-0.008446219
17-12-2020,0.006193246,-0.002865496,0.027221855,-0.010510511,-0.002130957,-0.006089112,-0.004575496,-0.014089347,0.028725894,0.006727592,-0.001416947,-0.002295584,-0.016402061,-0.006440314,0.022045793,0.009018036,-0.001555734,-0.022270829,-0.012222957,0.028849525,-0.00400039,-0.004439252,0.015187676,-0.005576049,-0.011872639,0.006606745,0.011500098,0.008318549,-0.001776078,0.009277847,-0.013127938,-0.0042898,-0.000987805,-0.013605442,0.008528179,-0.014780836,0.004578685,-0.001341108,-0.009246166,0.010358999,-0.006310319,-0.009105099,-0.004656259,-0.012589369,-0.010795065,-0.001661737,-0.001154925,-0.004185268,-0.010004541,0.003931862
16-12-2020,0.014648438,0.021761064,0.004704734,0.002508781,0.023800079,-0.003439073,0.006588627,0.016771488,0.02466652,0.001510529,-0.00206044,0.003070175,-0.000420389,-0.001072235,0.013943794,-0.004221352,0.001654698,0.028215089,0.010301502,0.031612313,-0.010809767,0.002107235,-0.005341246,0.009613719,0.01284504,0.000717526,-0.008503253,0.017652959,0.019499965,-0.005932798,0.004005022,-0.008974965,0.007341986,0.024390244,0.01906538,0.017634855,0.001114291,0.001518337,0.024175579,-2.26714E-05,-0.004618511,0.008659145,0.020402459,0.012670182,0.021529844,0.024306383,-0.001647175,0.016161043,0.009735149,-0.004221815
15-12-2020,-0.000678887,-0.008123541,0.045696263,-0.016894808,0.002286055,-0.003018308,-0.009692132,-0.001743983,0.007944886,0.001702238,0.031139995,0.000603434,0.018736617,0.01489118,0.0139562,-0.006557377,-0.000417516,-0.007306677,-0.021385637,0.020715263,-0.014739445,-0.010884669,0.005970149,-0.008544073,0.023496503,0.006084513,0.016378418,-0.002720762,0.00878179,0.019408401,0.008893306,0.011950287,-0.021617057,-0.010344828,-0.012921328,-0.007720021,-0.008512027,0.007057163,0.015040145,0.022655993,-0.012946754,-0.007982646,0.007036307,0.01372158,-0.009878683,0.003621579,-0.014288034,0.009589237,-0.00527516,0.040683942
14-12-2020,-0.001313615,0.010789583,0.011313315,0.020256668,-0.002676447,0.011841136,0.044254812,0.036889693,-0.011614179,0.001166047,-0.028472559,0.01019673,0.001501179,0.012467382,-0.007701765,-0.013167795,-0.022493957,0.011081469,-0.001684388,0.002940024,0.020079542,-0.001849283,-0.00270636,0.001160591,-0.005978034,0.009867736,0.011714855,0.046345139,-0.021785444,-0.010876659,-0.004752022,0.021484375,0.010363511,0.048553719,0.005065383,0.006214397,-0.007229036,0.000588443,0.016436782,-0.003478261,0.006423197,0.014346066,-0.006709533,0.008122889,0.001040944,0.014593733,0.004321239,-0.011739745,-0.011614803,-0.006842652
11-12-2020,-0.013852615,-0.002018962,0.010229832,-0.004758327,-0.001484708,-0.001871783,-0.009046214,0.0252132,-0.02415433,-0.007154024,-0.008765771,-0.007971413,-0.009978769,-0.005191808,-0.002200815,0.007657897,-0.002817519,0.003914297,0.010338446,0.0029706,0.01676694,0.016925247,0.008625867,-0.003896382,-0.00731438,0.008984396,0.01021292,0.003318352,-0.011682402,-0.008519357,-0.000316701,0.054040144,0.002637214,0.056192035,-0.00025141,0.001815824,-0.000597907,-0.007417791,-0.007868628,0.001974064,0.010758672,0.005130927,0.007038288,0.019013277,-0.006035523,0.012779104,-0.022007814,-0.006743467,0.011182521,-0.003743555
10-12-2020,-0.020325869,0.001486738,-0.010187546,0.010502341,0.004174535,0.03105787,0.000459077,0.001113586,0.001838729,-0.000751449,-0.021434881,-0.011681608,0.015305023,-0.004365057,-0.015171973,0.010496476,0.001128279,0.007053942,0.025412268,-0.007629948,-0.008895406,0.035540409,-0.013624125,-0.006339346,0.001243609,0.010485519,-0.035083968,0.007917019,-0.024966887,-0.002366864,0.003469858,-0.011698881,0.04459806,0.004934211,-0.009427921,0.000259471,-0.009842374,-0.002272727,-0.109926918,-0.027132719,-0.002959127,-0.007637609,-0.027914614,0.00123082,0.025464191,-0.001367318,-0.011274046,-0.010013908,-0.004748151,0.002019832
09-12-2020,-0.003162684,0.034195744,0.010851079,0.012037393,-0.001092137,-0.005020025,-0.004699739,0.003351955,0.009593496,0.008314723,-0.000372812,-0.005994815,0.001187008,0.007814309,0.0224515,0.001688411,0.0071813,-0.019129019,0.014247788,-0.001320489,0.006097561,0.014571499,0.012872259,0.018944813,-0.002205984,0.027129458,-0.013981122,0.008195322,0.00132626,-0.003003325,-0.006885491,0.00101833,0.002836847,0.004958678,0.004826082,0.005741127,0.016652038,0.004919185,0.041878173,-0.014330545,-0.005700625,0.001494637,0.004950495,-0.006683511,0.004886717,-0.001190601,0.02183195,-0.011547979,-0.005907642,0.00459897
08-12-2020,0.00729642,-0.013609432,-0.007723447,-0.011518987,-0.010511838,0.004532992,-0.009247882,-0.018640351,-0.007410795,-0.002763914,-0.005056322,-0.012690626,-0.01728526,0.009938033,0.002951357,0.003002078,-0.001921835,-0.022089552,0.001706447,0.002582689,-0.004016064,-0.00344573,-0.019729455,0.008613905,-0.006438356,0.00727802,0.031889647,0.001453364,0.002259737,-0.012707826,0.002492445,-0.015538847,-0.002454086,-0.008738394,0.021770099,-0.009819121,0.018154428,0.00240681,-0.006618342,-0.007149111,0.008531157,-0.023355659,-0.009534187,-0.001789928,-0.008981245,0.001789097,0.002260799,0.014646394,0.002003284,-0.009119582
07-12-2020,-0.000800936,0.013859559,-0.009414709,0.006882488,0.03078481,-0.005276575,0.008083969,0.026256564,0.001508641,0.024559188,0.002995888,0.006655931,0.039232973,-0.003727432,-0.009634815,0.009794015,-0.002012294,-0.005738029,0.032941123,0.025780311,0.016731401,0.024974773,0.023531987,0.007799762,-0.014578834,-0.013920108,-0.006854696,0.017572858,0.002331623,0.022966093,-0.007657164,0.01217656,-0.014928178,0.018920423,0.003721288,-0.004373553,0.005881598,-0.013035921,0.04443713,0.001657779,0.023149905,0.023284421,-0.003258213,-0.013088164,0.00771961,-0.008245486,0.007729862,-0.006513304,0.002461195,-5.52337E-05
