date,APOLLO HOSPITALS ENTERPRISE LTD.,ASIAN PAINTS LTD.,BAJAJ FINANCE LTD.,BHARAT PETROLEUM CORPN. LTD.,BHARTI AIRTEL LTD.,BRITANNIA INDUSTRIES LTD.,CIPLA LTD.,COAL INDIA LTD.,DIVI'S LABORATORIES LTD.,DR. REDDY'S LABORATORIES LTD.,EICHER MOTORS LTD.,GRASIM INDUSTRIES LTD.,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,H C L TECHNOLOGIES LTD.,H D F C BANK LTD.,H D F C LIFE INSURANCE CO. LTD.,HERO MOTOCORP LTD.,HINDALCO INDUSTRIES LTD.,HINDUSTAN UNILEVER LTD.,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,I C I C I BANK LTD.,I T C LTD.,INDUSIND BANK LTD.,INFOSYS LTD.,J S W STEEL LTD.,KOTAK MAHINDRA BANK LTD.,ULTRATECH CEMENT LTD.,LARSEN & TOUBRO LTD.,MAHINDRA & MAHINDRA LTD.,TECH MAHINDRA LTD.,MARUTI SUZUKI INDIA LTD.,N T P C LTD.,NESTLE INDIA LTD.,OIL & NATURAL GAS CORPN. LTD.,TATA CONSULTANCY SERVICES LTD.,POWER GRID CORPN. OF INDIA LTD.,RELIANCE INDUSTRIES LTD.,S B I LIFE INSURANCE CO. LTD.,U P L LTD.,SHREE CEMENT LTD.,STATE BANK OF INDIA,SUN PHARMACEUTICAL INDS. LTD.,TATA MOTORS LTD.,TATA STEEL LTD.,TATA CONSUMER PRODUCTS LTD.,TITAN COMPANY LTD.,AXIS BANK LTD.,WIPRO LTD.,BAJAJ AUTO LTD.,BAJAJ FINSERV LTD.
31-12-2021,0.008580194,0.005125234,0.015456041,0.019843895,0.006550379,0.008981785,-0.009078982,-0.001025992,0.010868861,0.000468938,0.013648807,0.017946224,0.008353469,0.001556509,0.012247691,0.013496645,0.012418274,0.057600356,0.014856381,0.008873893,0.006048661,0.009490741,0.003105941,-0.00269435,0.01571694,0.023273038,0.026205862,0.005409132,0.009465815,-0.005222367,0.019801572,-0.019700552,0.015414899,0.013523132,0.001232005,-0.004626248,0.003836209,0.000669344,0.000602692,0.021729419,0.019371264,0.013481934,0.025510204,0.009491371,0.021222527,0.034915685,0.014502504,0.001750455,0.015136841,0.014761049
30-12-2021,-0.001175501,-0.000519681,-0.005866906,-0.008265547,0.003693581,0.004017305,0.018384907,-0.003747871,0.001363164,0.01480401,-0.00204898,-0.006855077,0.002075406,0.019467451,0.005261891,-0.005971307,-0.000554814,-0.010126582,0.008127967,5.85126E-05,0,-0.003460208,0.017701149,0.003871549,-0.015398689,-0.005073121,-0.003200399,-0.004828878,-0.004083103,0.007331337,-0.009224427,0.03045067,0.000355677,0.011519078,0.010569194,0.003665689,-0.018064516,0.008054654,-0.015428232,-0.007583969,-0.005941901,-0.00518598,-0.011764706,-0.013661814,0.001857841,0.014632725,-0.00246085,0.014779025,-0.018911877,-0.005015678
29-12-2021,0.027331654,-0.000222671,0.00072394,0.001840168,-0.004705536,0.002520665,0.0024108,-0.014108163,0.021269073,0.018835111,0.03299871,-0.010666173,-0.008913267,0.006231015,-0.004757667,0.003814417,0.006390107,-0.008512496,-0.000974406,-0.000701659,-0.000135906,-0.014996592,0.020348326,-0.001297669,-0.002205826,-0.006028509,0.002005104,-0.002448013,-0.007153929,-0.010658325,0.007207997,-0.007655117,0.002306897,-0.004301075,-0.003197043,-0.004863813,0.001709473,0.006835938,-0.004463407,-0.003797236,-0.014744146,0.029076187,-0.008746356,-0.009933922,-0.000412683,0.009370338,-0.007328448,-0.002480686,0.027219345,0.009204483
28-12-2021,0.000857429,0.02927515,0.002307441,0.016025641,0.0063633,0.010659797,0.003278689,0.019171517,0.011658321,0.001456649,0.016995018,0.012105707,0.008365597,0.013178662,0.006892749,0.003985932,0.006577852,0.011815371,0.00334579,0.002540204,-0.000271739,0.011491611,-0.003040047,0.011708598,0.006584488,0.000817615,0.02222897,0.017843747,0.0246167,0.011820728,0.00109061,0.018465326,0.002727647,0.01565344,0.002827304,-0.002426007,0.011876384,0.013468738,0.006806767,0.016033344,0.006876978,0.026445032,0.01920832,0.005036548,0.011760612,0.020825291,0.004909618,0.008361921,0.006959196,0.005479888
27-12-2021,-0.000505937,-0.003774963,0.005655283,0.006045949,-0.001920095,-0.007934939,0.024166024,0.001028101,0.005835067,0.021180731,0.000430699,-0.005183438,0.00110742,0.001580778,0.008270206,0.003765592,0.003991724,-0.013292656,0.001937352,0.009587501,0.012240407,-0.00206422,-0.006851303,0.001422055,0.002686934,0.014327385,0.002802846,0.003657094,0.007260198,0.035502959,-0.003771986,0.004948454,0.004065189,-0.008303249,0.006864802,0.003407984,-0.00107468,0.011975266,0.01305483,-0.00059861,0.002407266,0.011077158,0.007591959,0.00569277,-0.000625913,0.00510897,0.006966292,0.001646503,0.00065037,0.005813241
24-12-2021,-0.007185985,0.005171517,-0.009504535,-0.01378031,-0.002504604,-0.003741631,-0.001593844,-0.012186865,-0.006977783,-0.011960041,-0.017074892,-0.02934442,-0.012170108,0.030754817,-0.003600859,-0.004918033,-0.000104484,-0.005202688,-0.001608241,-0.014234875,-0.005743197,0.003221353,-0.01142234,0.003176141,0.001614764,-0.015318765,-0.015775277,-0.01014134,-0.017173611,0.02375579,-0.009482683,-0.026495383,0.000814741,-0.014234875,0.002238786,-0.014158867,0.003192052,0.020214137,-0.010467042,-0.000827866,-0.010502382,-0.00889646,-0.010056102,-0.01081896,-0.010732714,-0.004485171,-0.016647024,0.005615146,-0.006946851,-0.015420627
23-12-2021,0.021358796,-0.003719399,0.021643136,0.013156128,-0.008762322,0.016471261,0.022535686,0.016167871,-0.018626055,0.009960202,-0.00265396,0.012815818,0.011689839,0.003802748,-0.00076114,0.000937647,0.018690395,-0.004424301,0.010098127,0.012662466,-0.002046943,0.025,-0.000745627,0.018030361,-0.016263238,0.007489787,-0.004967976,0.003981828,0.009954806,0.014490134,-0.004930123,0.016319869,0.000935354,0.027046784,0.008799835,0.033738526,-0.000359241,0.001022859,0.00059658,0.005172299,0.013052539,-0.006332288,0.003931987,-0.001063029,0.016504651,0.013110121,0.014118174,0.012980384,0.01219765,0.014047498
22-12-2021,-0.014863025,0.002674737,0.029441053,0.022652389,0.026611694,-0.0024959,0.003326755,0.004839267,0.035817237,0.005972862,0.029048476,0.00131382,-0.003789967,0.014771784,0.002358163,0.001800391,0.000596405,0.040184084,0.002111886,-0.000728103,0.017283265,-0.002352941,0.016973868,0.007231177,0.004101473,0.014885837,0.006810102,0.023774999,0.008002955,0.016412015,0.014845902,0.002864157,-0.001555631,0.005512679,0.006221766,-0.024443369,0.023731747,-0.009645453,0.028146937,0.013925523,0.022085202,0.024340119,0.037257496,0.021491268,0.013107553,0.005289271,0.005256439,-0.007455124,0.001613006,0.007197471
21-12-2021,0.030319132,0.009847351,-0.008531613,0.011666667,0.013292822,0.009749705,-0.007887671,0.028073916,-0.000623802,0.013199728,0.004238609,0.012372792,0.03406014,0.038882662,0.011328166,0.008128157,-0.003925063,0.028515354,0.001652638,-0.003705446,0.014648919,0.00047081,0.013119017,0.00705987,0.024431995,-0.003414634,0.02325143,0.015672326,-0.002578902,0.021839116,0.003918151,0.003696099,0.01796756,0.015298507,0.014450786,-0.015487253,0.014885722,0.00848361,0.03578992,0.014412837,-0.007123776,0.019111198,0.014651605,0.029964118,-0.005425974,0.021568759,-0.01260473,0.037315114,0.008244235,0.000363322
20-12-2021,-0.017078572,-0.001310232,-0.038682239,-0.064205875,-0.011710833,-0.018169478,0.039060684,-0.039262547,-0.022830797,0.009462256,-0.021370476,-0.029625405,-0.030734167,-0.009817313,-0.032178134,-0.035028937,-0.035996973,-0.037876263,0.017419572,-0.025617514,-0.025195661,-0.025464556,-0.041789354,-0.01205481,-0.026732298,-0.028598506,-0.024055006,-0.025851335,-0.024323029,-0.027269684,-0.001370501,-0.030266826,-0.010398514,-0.038737446,-0.007658292,-0.000476304,-0.026960627,-0.014747713,-0.01020123,-0.028770422,-0.039760581,-0.006502373,-0.049234368,-0.052248035,-0.023129345,-0.018001228,-0.021120627,-0.007230173,-0.023260935,-0.023327286
