Company,Weight
APOLLO HOSPITALS ENTERPRISE LTD.,0.03402312348781479
ASIAN PAINTS LTD.,0.033973110763886205
BAJAJ FINANCE LTD.,0.03575314770074794
BHARAT PETROLEUM CORPN. LTD.,0.010543324189975547
BHARTI AIRTEL LTD.,0.017324362795394038
BRITANNIA INDUSTRIES LTD.,0.012881092575511082
CIPLA LTD.,0.026213498049612805
COAL INDIA LTD.,0.00852251920071541
DIVI'S LABORATORIES LTD.,0.0370476648227836
DR. REDDY'S LABORATORIES LTD.,0.035763354712780186
EICHER MOTORS LTD.,0.004025419946880876
GRASIM INDUSTRIES LTD.,0.010568912119913135
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,0.0174154744720647
H C L TECHNOLOGIES LTD.,0.020582253335870618
H D F C BANK LTD.,0.01221996112467607
H D F C LIFE INSURANCE CO. LTD.,0.027591362911709272
HERO MOTOCORP LTD.,0.010677287028473299
HINDALCO INDUSTRIES LTD.,0.013005185867329856
HINDUSTAN UNILEVER LTD.,0.03204185439312653
HOUSING DEVELOPMENT FINANCE CORPN. LTD.,0.021088012715260836
I C I C I BANK LTD.,0.026819609011792343
I T C LTD.,0.011990083106652666
INDUSIND BANK LTD.,0.008846238046209003
INFOSYS LTD.,0.026787627344934097
J S W STEEL LTD.,0.018678180497880004
KOTAK MAHINDRA BANK LTD.,0.03187013893405276
ULTRATECH CEMENT LTD.,0.017338169988737957
LARSEN & TOUBRO LTD.,0.013227696014898292
MAHINDRA & MAHINDRA LTD.,0.00930243980698987
TECH MAHINDRA LTD.,0.03362262700601318
MARUTI SUZUKI INDIA LTD.,0.010716490441223199
N T P C LTD.,0.008832928660220528
NESTLE INDIA LTD.,0.035693737218413776
OIL & NATURAL GAS CORPN. LTD.,0.008589990010125318
TATA CONSULTANCY SERVICES LTD.,0.02255579082928294
POWER GRID CORPN. OF INDIA LTD.,0.013560396345740196
RELIANCE INDUSTRIES LTD.,0.033624924829865274
S B I LIFE INSURANCE CO. LTD.,0.02185690940794377
U P L LTD.,0.009405811715064213
SHREE CEMENT LTD.,0.01887495378207358
STATE BANK OF INDIA,0.01061451630617229
SUN PHARMACEUTICAL INDS. LTD.,0.017787133590570076
TATA MOTORS LTD.,0.008362609857074047
TATA STEEL LTD.,0.011845369456567879
TATA CONSUMER PRODUCTS LTD.,0.031994008823361404
TITAN COMPANY LTD.,0.03196479565818826
AXIS BANK LTD.,0.017263773389869383
WIPRO LTD.,0.02501554264824353
BAJAJ AUTO LTD.,0.016469003458872623
BAJAJ FINSERV LTD.,0.02522758159844071
